pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixciation.started,fixciation_2.started,fixciation_3.started,fixciation.stopped,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,test.started,stimulus.started,stimulus_2.started,stimulus_3.started,stimulus.stopped,key_resp_2.started,test.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,a,0,0,0,0,,,,,0.2166042000753805,,0.2079395999899134,0.2166042000753805,1.0075530000030994,1.0075530000030994,1.2256648000329733,2.008251100080088,3.944504200015217,a,1,1.9239523999858648,None,,,,,,,,,,,,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-150,s,0,1,1,1,,,,,3.9570569000206888,,3.946078300010413,3.9570569000206888,4.957849900005385,4.957849900005385,4.957849900005385,5.957664999994449,6.2412672999780625,s,1,0.27167699998244643,None,,,,,,,,,,,,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-50,a,1,0,2,0,,,,,6.25739689997863,,6.241658800048754,6.25739689997863,7.241728099994361,7.241728099994361,7.258188100066036,8.24255169997923,8.508782500051893,a,1,0.2604684999678284,None,,,,,,,,,,,,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-150,s,1,1,3,1,,,,,8.524102000053972,,8.509275899967179,8.524102000053972,9.50791919999756,9.50791919999756,9.524485600064509,10.508840200025588,10.608645600033924,s,1,0.08521500008646399,None,,,,,,,,,,,,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-50,a,2,0,4,0,,,,,10.624221300007775,,10.610056500067003,10.624221300007775,11.62418909999542,11.62418909999542,11.62418909999542,12.60956290003378,13.443116800044663,a,1,0.8261177000822499,None,,,,,,,,,,,,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-150,s,2,1,5,1,,,,,13.45718270004727,,13.444255999987945,13.45718270004727,14.458365799975581,14.458365799975581,14.458365799975581,15.457058600033633,17.042688000015914,a,0,1.5785926999524236,None,,,,,,,,,,,,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-50,a,3,0,6,0,,,,,17.056806200067513,,17.044074599980377,17.056806200067513,18.057729899999686,18.057729899999686,18.057729899999686,19.05795060005039,20.494428500067443,s,0,1.4322144000325352,None,,,,,,,,,,,,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-150,s,3,1,7,1,,,,,20.506783400080167,,20.495070500066504,20.506783400080167,21.507282400038093,21.507282400038093,21.507282400038093,22.506886000046507,24.524624500074424,s,1,2.0094089000485837,None,,,,,,,,,,,,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-50,a,4,0,8,0,,,,,24.540322500048205,,24.524979699985124,24.540322500048205,25.52458199998364,25.52458199998364,25.541745700058527,26.54030600003898,27.74223209999036,s,0,1.199005899950862,None,,,,,,,,,,,,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-150,s,4,1,9,1,,,,,27.756998399971053,,27.7431580000557,27.756998399971053,28.757222200045362,28.757222200045362,28.757222200045362,29.756381700048223,31.05992959998548,s,1,1.2995140000712126,None,,,,,,,,,,,,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
