pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixciation.started,fixciation_2.started,fixciation_3.started,fixciation.stopped,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,test.started,stimulus.started,stimulus_2.started,stimulus_3.started,stimulus.stopped,key_resp_2.started,test.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,s,,,,,0,0,0,1,31.089129299973138,,,,,,,,,,,,,31.069629600038752,31.089129299973138,32.07373130007181,32.07373130007181,32.090636500041,33.073967000003904,34.923977600061335,a,0,1.8424410000443459,None,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-50,a,,,,,0,1,1,0,34.93947600002866,,,,,,,,,,,,,34.92521450005006,34.93947600002866,35.940749200060964,35.940749200060964,35.940749200060964,36.94025900005363,38.15762449998874,a,1,1.2040427000029013,None,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-50,a,,,,,1,0,2,0,38.17414160002954,,,,,,,,,,,,,38.15807050000876,38.17414160002954,39.157130300067365,39.157130300067365,39.17416970001068,40.15775300003588,41.39486790006049,a,1,1.234072700026445,None,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-150,s,,,,,1,1,3,1,41.406308299978264,,,,,,,,,,,,,41.396149300038815,41.406308299978264,42.40752370003611,42.40752370003611,42.40752370003611,43.40661619999446,43.941276800003834,s,1,0.5245677001075819,None,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-150,s,,,,,2,0,4,1,43.95591849996708,,,,,,,,,,,,,43.941665600053966,43.95591849996708,44.94097670004703,44.94097670004703,44.95667880005203,45.95643290004227,47.423842999967746,s,1,1.4533701000036672,None,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-50,a,,,,,2,1,5,0,47.439512100070715,,,,,,,,,,,,,47.42419799999334,47.439512100070715,48.42420750006568,48.42420750006568,48.44047620007768,49.439344600075856,50.508116799988784,s,0,1.05884509999305,None,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-50,a,,,,,3,0,6,0,50.52269630006049,,,,,,,,,,,,,50.50935130007565,50.52269630006049,51.52410839998629,51.52410839998629,51.52410839998629,52.52316540002357,53.60730909998529,s,0,1.0705694000935182,None,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-150,s,,,,,3,1,7,1,53.62356680002995,,,,,,,,,,,,,53.608037000056356,53.62356680002995,54.60663629998453,54.60663629998453,54.62382910004817,55.60671249998268,56.24257400003262,a,0,0.6326736999908462,None,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-150,s,,,,,4,0,8,1,56.25567950005643,,,,,,,,,,,,,56.24307620001491,56.25567950005643,57.256754699978046,57.256754699978046,57.256754699978046,58.25672150007449,58.65725360007491,a,0,0.3946805999148637,None,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
-50,a,,,,,4,1,9,0,58.67246729996987,,,,,,,,,,,,,58.65775989997201,58.67246729996987,59.656972800032236,59.656972800032236,59.67420840007253,60.657526900060475,61.41029220004566,a,1,0.750114000053145,None,193593,001,2024-11-21_12h14.23.650,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-21 12h14.29.846026 +0530,
