pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixciation.started,fixciation_2.started,fixciation_3.started,fixciation_4.started,fixciation.stopped,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,feeback.started,text.started,feeback.stopped,test.started,stimulus.started,stimulus_2.started,stimulus_3.started,stimulus_4.started,stimulus.stopped,key_resp_2.started,test.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,a,0,0,0,0,,,,,0.21847809990867972,,0.2107722999062389,0.21847809990867972,1.000931599875912,1.000931599875912,1.000931599875912,1.233221499947831,1.9999549000058323,2.0867691000457853,a,1,0.07239650003612041,None,,,,,,,,,,,,,,,,036114,001,2024-11-22_18h58.49.033,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-22 18h58.57.405061 +0530,
-150,s,0,1,1,1,,,,,2.1029556998983026,,2.0878093000501394,2.1029556998983026,3.1008261998649687,3.1008261998649687,3.1008261998649687,3.1169273999985307,4.101002400042489,4.317882400006056,s,1,None,None,,,,,,,,,,,,,,,,036114,001,2024-11-22_18h58.49.033,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-22 18h58.57.405061 +0530,
50,d,0,2,2,2,,,,,4.333339500008151,,4.3186390998307616,4.333339500008151,5.318229999858886,5.318229999858886,5.318229999858886,5.3337201999966055,6.333159300033003,7.619638300035149,a,0,1.277179399970919,None,,,,,,,,,,,,,,,,036114,001,2024-11-22_18h58.49.033,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-22 18h58.57.405061 +0530,
-50,a,1,0,3,0,,,,,7.634080499876291,,7.62135130004026,7.634080499876291,8.633885500021279,8.633885500021279,8.633885500021279,8.633885500021279,9.633214500034228,11.085057999938726,d,0,1.448660499881953,None,,,,,,,,,,,,,,,,036114,001,2024-11-22_18h58.49.033,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-22 18h58.57.405061 +0530,
-150,s,1,1,4,1,,,,,11.10012079984881,,11.086617399938405,11.10012079984881,12.10077859996818,12.10077859996818,12.10077859996818,12.10077859996818,13.100018299883232,13.138507100054994,a,0,0.024693399900570512,None,,,,,,,,,,,,,,,,036114,001,2024-11-22_18h58.49.033,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-22 18h58.57.405061 +0530,
50,d,1,2,5,2,,,,,13.149437200045213,,13.140446899924427,13.149437200045213,14.150175499962643,14.150175499962643,14.150175499962643,14.150175499962643,15.149689399870113,18.650981100043282,d,1,3.4937947001308203,None,,,,,,,,,,,,,,,,036114,001,2024-11-22_18h58.49.033,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-22 18h58.57.405061 +0530,
-50,a,2,0,6,0,,,,,18.666257499950007,,18.65271529997699,18.666257499950007,19.666424499824643,19.666424499824643,19.666424499824643,19.666424499824643,20.666397399967536,23.067968299845234,a,1,2.394138100091368,None,,,,,,,,,,,,,,,,036114,001,2024-11-22_18h58.49.033,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-22 18h58.57.405061 +0530,
-150,s,2,1,7,1,,,,,23.083087399834767,,23.069197200005874,23.083087399834767,24.083069199929014,24.083069199929014,24.083069199929014,24.083069199929014,25.082575700012967,28.034711699932814,d,0,2.9374887000303715,None,,,,,,,,,,,,,,,,036114,001,2024-11-22_18h58.49.033,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-22 18h58.57.405061 +0530,
50,d,2,2,8,2,,,,,28.049216199899092,,28.035880599869415,28.049216199899092,29.050780799938366,29.050780799938366,29.050780799938366,29.050780799938366,30.049417400034145,30.434243799885735,a,0,0.3684245999902487,None,,,,,,,,,,,,,,,,036114,001,2024-11-22_18h58.49.033,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-22 18h58.57.405061 +0530,
-50,a,3,0,9,0,,,,,30.449422099860385,,30.436163399834186,30.449422099860385,31.450592400040478,31.450592400040478,31.450592400040478,31.450592400040478,32.44995599985123,33.10107309999876,s,0,0.6351270000450313,None,,,,,,,,,,,,,,,,036114,001,2024-11-22_18h58.49.033,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-22 18h58.57.405061 +0530,
